City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
belvior,Belvior,Eastern Cape,-31.933627,26.805249,5
ben avis,Ben Avis,Eastern Cape,-30.930296,26.763001,5
benard,Benard,Eastern Cape,-31.65,27.4,5
bende,Bende,Eastern Cape,-32.128668,28.433429,5
bengu,Bengu,Eastern Cape,-31.795343,27.332717,5
bensonvale,Bensonvale,Eastern Cape,-30.576853,27.349607,5
berea,Berea,Eastern Cape,-30.937454,26.376926,5
bergfontein,Bergfontein,Eastern Cape,-31.840868,26.23951,5
bergheim,Bergheim,Eastern Cape,-33.986729,23.97283,5
bergplaas,Bergplaas,Eastern Cape,-30.556648,26.049231,5
berlin,Berlin,Eastern Cape,-32.88309,27.581224,5
bernardshoek,Bernardshoek,Eastern Cape,-33.783333,24.216667,5
bernese,Bernese,Eastern Cape,-32.868229,28.106251,5
berseba,Berseba,Eastern Cape,-30.953553,25.62363,5
bertievale,Bertievale,Eastern Cape,-30.342315,28.520003,5
bestersdal,Bestersdal,Eastern Cape,-33.233333,23.766667,5
bethania,Bethania,Eastern Cape,-30.638438,28.303906,5
bethel,Bethel,Eastern Cape,-32.354486,28.206307,5
bethelsdorp,Bethelsdorp,Eastern Cape,-33.888558,25.512416,5
betshawawini,Betshawawini,Eastern Cape,-30.868097,29.901308,5
betshwana,Betshwana,Eastern Cape,-30.772363,29.389987,5
beyele,Beyele,Eastern Cape,-31.75,27.95,5
bhakaleni,Bhakaleni,Eastern Cape,-31.34021,29.379368,5
bhala,Bhala,Eastern Cape,-30.937341,29.496546,5
bhantini,Bhantini,Eastern Cape,-30.935936,28.447565,5
bhayi,Bhayi,Eastern Cape,-30.806346,29.133405,5
bhetani,Bhetani,Eastern Cape,-31.856286,28.365719,5
bhibha,Bhibha,Eastern Cape,-30.877789,28.957807,5
bhisho,Bhisho,Eastern Cape,-32.847212,27.442179,5
bhokhwe,Bhokhwe,Eastern Cape,-32.411503,28.112235,5
bhokweni,Bhokweni,Eastern Cape,-30.908709,29.561153,5
bholani,Bholani,Eastern Cape,-31.643229,29.414463,5
bhoneni,Bhoneni,Eastern Cape,-30.94049,29.405745,5
bhongolethu,Bhongolethu,Eastern Cape,-30.612584,27.488688,5
bhongweni,Bhongweni,Eastern Cape,-31.998078,28.964417,5
bhoqo,Bhoqo,Eastern Cape,-31.652276,26.992257,5
bhubesi,Bhubesi,Eastern Cape,-31.074189,29.073419,5
bhukada,Bhukada,Eastern Cape,-31.352981,29.350228,5
bhunga,Bhunga,Eastern Cape,-32.166667,28.733333,5
bhungeni,Bhungeni,Eastern Cape,-30.927099,29.466619,5
bhungweni,Bhungweni,Eastern Cape,-30.983405,29.633807,5
bidiza,Bidiza,Eastern Cape,-31.621716,28.852205,5
big umgazi,Big Umgazi,Eastern Cape,-31.614246,29.42367,5
big umngazi,Big Umngazi,Eastern Cape,-31.614246,29.42367,5
bikana,Bikana,Eastern Cape,-32.183333,28.65,5
bikanadale,Bikanadale,Eastern Cape,-32.183333,28.666667,5
bikani,Bikani,Eastern Cape,-32.183333,28.65,5
bikizana,Bikizana,Eastern Cape,-30.345885,27.455355,5
bilaty,Bilaty,Eastern Cape,-31.95581,27.398173,5
bilatyi,Bilatyi,Eastern Cape,-31.95581,27.398173,5
bisho,Bisho,Eastern Cape,-32.847212,27.442179,5
bisi,Bisi,Eastern Cape,-30.411003,29.889569,5
bittern,Bittern,Eastern Cape,-30.2994,28.608071,5
bitterne,Bitterne,Eastern Cape,-30.2994,28.608071,5
bitterplat,Bitterplat,Eastern Cape,-31.202951,26.978916,5
bityi,Bityi,Eastern Cape,-31.8,28.533333,5
bizana,Bizana,Eastern Cape,-30.859074,29.853843,5
blaauwater,Blaauwater,Eastern Cape,-31.514727,26.17025,5
blaauwskop,Blaauwskop,Eastern Cape,-31.583333,25.566667,5
black fountain,Black Fountain,Eastern Cape,-30.453109,28.346835,5
black hill,Black Hill,Eastern Cape,-32.808509,28.025506,5
black rock,Black Rock,Eastern Cape,-32.016667,29.1,5
black streams,Black Streams,Eastern Cape,-31.636543,26.838577,5
blackfontein,Blackfontein,Eastern Cape,-30.453109,28.346835,5
blackwoods,Blackwoods,Eastern Cape,-31.952664,26.836845,5
blaufontein,Blaufontein,Eastern Cape,-31.066667,25.9,5
blekana,Blekana,Eastern Cape,-30.770328,28.604465,5
blenheim,Blenheim,Eastern Cape,-31.600928,26.60669,5
blikana,Blikana,Eastern Cape,-30.566667,27.616667,5
bloegomhof,Bloegomhof,Eastern Cape,-30.742602,28.332619,5
bloekomhof,Bloekomhof,Eastern Cape,-30.742602,28.332619,5
bloemendal,Bloemendal,Eastern Cape,-30.984684,26.151999,5
bloemhof,Bloemhof,Eastern Cape,-30.91936,26.259556,5
bloemof,Bloemof,Eastern Cape,-31.584913,25.84318,5
blomtuin,Blomtuin,Eastern Cape,-31.222349,26.974161,5
blouboschpoortjie,Blouboschpoortjie,Eastern Cape,-31.877528,26.062903,5
bloubospooft,Bloubospooft,Eastern Cape,-31.411633,25.799594,5
blue bend,Blue Bend,Eastern Cape,-32.978828,27.949291,5
blue boulders,Blue Boulders,Eastern Cape,-31.995384,26.819917,5
blue gum vale,Blue Gum Vale,Eastern Cape,-31.35,28.216667,5
blue hills,Blue Hills,Eastern Cape,-31.064464,26.815161,5
blue lagoon,Blue Lagoon,Eastern Cape,-32.433333,28.666667,5
bluegum grove,Bluegum Grove,Eastern Cape,-33.216667,24.233333,5
bluegums,Bluegums,Eastern Cape,-30.542541,27.230707,5
bluegums grove,Bluegums Grove,Eastern Cape,-33.216667,24.233333,5
bluerock,Bluerock,Eastern Cape,-32.783333,28.016667,5
bluewater bay,Bluewater Bay,Eastern Cape,-33.85,25.466667,5
bodiam,Bodiam,Eastern Cape,-33.248919,27.421728,5
bodini,Bodini,Eastern Cape,-31.789972,27.914224,5
bodweni,Bodweni,Eastern Cape,-31.182363,29.553344,5
boesmansrivermond,Boesmansrivermond,Eastern Cape,-33.686305,26.656043,5
boesmansriviermond,Boesmansriviermond,Eastern Cape,-33.686305,26.656043,5
bogeni,Bogeni,Eastern Cape,-32.330925,28.596926,5
bogo,Bogo,Eastern Cape,-32.097103,28.08353,5
bojeni,Bojeni,Eastern Cape,-32.309442,28.592007,5
boknes,Boknes,Eastern Cape,-33.729954,26.578112,5
bokpoort,Bokpoort,Eastern Cape,-32.783333,28,5
bokwana,Bokwana,Eastern Cape,-31.283333,28.883333,5
bolo,Bolo,Eastern Cape,-32.380407,27.632322,5
bolotwa,Bolotwa,Eastern Cape,-31.848,28.274389,5
bomela,Bomela,Eastern Cape,-32.107937,28.408939,5
bomvini,Bomvini,Eastern Cape,-30.930049,28.852529,5
bonaparte,Bonaparte,Eastern Cape,-31.890425,26.648504,5
bonde,Bonde,Eastern Cape,-32.3071,28.57739,5
bongolethu,Bongolethu,Eastern Cape,-31.983333,27.65,5
bongweni,Bongweni,Eastern Cape,-32.077719,28.15932,5
bonhill,Bonhill,Eastern Cape,-31.838651,26.093137,5
boniswa,Boniswa,Eastern Cape,-31.483333,27.233333,5
bonny glen,Bonny Glen,Eastern Cape,-31.532235,27.162185,5
bonny glenn,Bonny Glenn,Eastern Cape,-31.532235,27.162185,5
bonnyvale,Bonnyvale,Eastern Cape,-31.382244,26.108123,5
bontrand,Bontrand,Eastern Cape,-30.414409,29.806,5
bontrug,Bontrug,Eastern Cape,-33.397863,25.482828,5
bonza bay,Bonza Bay,Eastern Cape,-32.973742,27.957759,5
bonzabaai,Bonzabaai,Eastern Cape,-32.973742,27.957759,5
boonstepos,Boonstepos,Eastern Cape,-31.221382,25.755309,5
booplaats,Booplaats,Eastern Cape,-33.8354,24.399831,5
boplaas,Boplaas,Eastern Cape,-33.8354,24.399831,5
boqeni,Boqeni,Eastern Cape,-32.330925,28.596926,5
borderville,Borderville,Eastern Cape,-30.996679,25.919296,5
bosfontein,Bosfontein,Eastern Cape,-33.678448,26.28521,5
bospoort,Bospoort,Eastern Cape,-31.074257,25.609932,5
bosrand,Bosrand,Eastern Cape,-30.806481,26.094349,5
bossenfontein,Bossenfontein,Eastern Cape,-30.391415,29.944492,5
bossieshoek,Bossieshoek,Eastern Cape,-31.801298,26.4208,5
botha's ridge,Botha's Ridge,Eastern Cape,-33.24523,26.615418,5
bothaskraal,Bothaskraal,Eastern Cape,-31.797375,26.342998,5
botterkop,Botterkop,Eastern Cape,-31.519381,26.85847,5
botterleegte,Botterleegte,Eastern Cape,-30.935383,26.030529,5
bowden,Bowden,Eastern Cape,-30.743343,28.21098,5
boxmoor,Boxmoor,Eastern Cape,-33.466667,24.533333,5
braamfontein,Braamfontein,Eastern Cape,-31.411281,26.486987,5
braamhoek,Braamhoek,Eastern Cape,-30.828832,26.571024,5
bracefield,Bracefield,Eastern Cape,-33.181432,25.692564,5
bradgate,Bradgate,Eastern Cape,-31.40209,26.920858,5
braelynn,Braelynn,Eastern Cape,-33.00021,27.876876,5
brakfontein,Brakfontein,Eastern Cape,-31.317207,26.945793,5
brandhoek,Brandhoek,Eastern Cape,-33.749754,23.894674,5
brandpoort,Brandpoort,Eastern Cape,-31.081559,25.838183,5
branstone,Branstone,Eastern Cape,-31.46661,26.79619,5
braunschweich,Braunschweich,Eastern Cape,-32.786129,27.369972,5
braunschweig,Braunschweig,Eastern Cape,-32.786129,27.369972,5
braunville,Braunville,Eastern Cape,-31.6,27.1,5
bravo,Bravo,Eastern Cape,-30.783542,25.837924,5
breakfast vlei,Breakfast Vlei,Eastern Cape,-33.087576,26.952348,5
breidbach,Breidbach,Eastern Cape,-32.889749,27.445021,5
brigg's haven,Brigg's Haven,Eastern Cape,-30.483333,27.4,5
broadlands,Broadlands,Eastern Cape,-31.911846,26.680862,5
bromley,Bromley,Eastern Cape,-31.799299,26.715941,5
brooklyn,Brooklyn,Eastern Cape,-31.087442,25.827177,5
broughton,Broughton,Eastern Cape,-31.282139,26.569654,5
brown's vale,Brown's Vale,Eastern Cape,-32.566667,26.533333,5
bruinklip,Bruinklip,Eastern Cape,-33.779163,23.608765,5
